AoA (degrees),Suction Location (%C),calc_suction_loc,Suction Size (%C),calc_suction_slot_size,CL,CD,Re,chord
-19.5,65,299,0.5,2.3,-0.66,0.265,1000000,460
-19,65,299,0.5,2.3,-0.67,0.25,1000000,460
-18.5,65,299,0.5,2.3,-0.68,0.235,1000000,460
-18,65,299,0.5,2.3,-0.69,0.22,1000000,460
-17.5,65,299,0.5,2.3,-0.7,0.205,1000000,460
-17,65,299,0.5,2.3,-0.7,0.19,1000000,460
-16.5,65,299,0.5,2.3,-0.7,0.175,1000000,460
-16,65,299,0.5,2.3,-0.7,0.16,1000000,460
-15.5,65,299,0.5,2.3,-0.7,0.14,1000000,460
-15,65,299,0.5,2.3,-0.7,0.12,1000000,460
-14.5,65,299,0.5,2.3,-0.68,0.11,1000000,460
-14,65,299,0.5,2.3,-0.66,0.1,1000000,460
-13.5,65,299,0.5,2.3,-0.62,0.09,1000000,460
-13,65,299,0.5,2.3,-0.58,0.08,1000000,460
-12.5,65,299,0.5,2.3,-0.55,0.07,1000000,460
-12,65,299,0.5,2.3,-0.5,0.06,1000000,460
-11.5,65,299,0.5,2.3,-0.45,0.055,1000000,460
-11,65,299,0.5,2.3,-0.4,0.05,1000000,460
-10.5,65,299,0.5,2.3,-0.35,0.045,1000000,460
-10,65,299,0.5,2.3,-0.3,0.04,1000000,460
-9.5,65,299,0.5,2.3,-0.25,0.038,1000000,460
-9,65,299,0.5,2.3,-0.2,0.035,1000000,460
-8.5,65,299,0.5,2.3,-0.15,0.032,1000000,460
-8,65,299,0.5,2.3,-0.1,0.03,1000000,460
-7.5,65,299,0.5,2.3,-0.05,0.028,1000000,460
-7,65,299,0.5,2.3,0,0.025,1000000,460
-6.5,65,299,0.5,2.3,0.05,0.024,1000000,460
-6,65,299,0.5,2.3,0.1,0.022,1000000,460
-5.5,65,299,0.5,2.3,0.15,0.02,1000000,460
-5,65,299,0.5,2.3,0.2,0.02,1000000,460
-4.5,65,299,0.5,2.3,0.25,0.02,1000000,460
-4,65,299,0.5,2.3,0.3,0.02,1000000,460
-3.5,65,299,0.5,2.3,0.35,0.02,1000000,460
-3,65,299,0.5,2.3,0.4,0.02,1000000,460
-2.5,65,299,0.5,2.3,0.45,0.019,1000000,460
-2,65,299,0.5,2.3,0.5,0.018,1000000,460
-1.5,65,299,0.5,2.3,0.55,0.018,1000000,460
-1,65,299,0.5,2.3,0.6,0.018,1000000,460
-0.5,65,299,0.5,2.3,0.65,0.018,1000000,460
0,65,299,0.5,2.3,0.7,0.018,1000000,460
0.5,65,299,0.5,2.3,0.75,0.018,1000000,460
1,65,299,0.5,2.3,0.8,0.018,1000000,460
1.5,65,299,0.5,2.3,0.85,0.018,1000000,460
2,65,299,0.5,2.3,0.9,0.018,1000000,460
2.5,65,299,0.5,2.3,0.95,0.019,1000000,460
3,65,299,0.5,2.3,1,0.02,1000000,460
3.5,65,299,0.5,2.3,1.05,0.025,1000000,460
4,65,299,0.5,2.3,1.1,0.03,1000000,460
4.5,65,299,0.5,2.3,1.15,0.035,1000000,460
5,65,299,0.5,2.3,1.2,0.04,1000000,460
5.5,65,299,0.5,2.3,1.24,0.05,1000000,460
6,65,299,0.5,2.3,1.28,0.06,1000000,460
6.5,65,299,0.5,2.3,1.32,0.07,1000000,460
7,65,299,0.5,2.3,1.36,0.08,1000000,460
7.5,65,299,0.5,2.3,1.4,0.09,1000000,460
8,65,299,0.5,2.3,1.44,0.1,1000000,460
8.5,65,299,0.5,2.3,1.48,0.11,1000000,460
9,65,299,0.5,2.3,1.52,0.12,1000000,460
9.5,65,299,0.5,2.3,1.55,0.13,1000000,460
10,65,299,0.5,2.3,1.58,0.14,1000000,460
10.5,65,299,0.5,2.3,1.6,0.145,1000000,460
11,65,299,0.5,2.3,1.62,0.15,1000000,460
11.5,65,299,0.5,2.3,1.63,0.155,1000000,460
12,65,299,0.5,2.3,1.64,0.16,1000000,460
12.5,65,299,0.5,2.3,1.65,0.165,1000000,460
13,65,299,0.5,2.3,1.65,0.17,1000000,460
13.5,65,299,0.5,2.3,1.6,0.17,1000000,460
14,65,299,0.5,2.3,1.6,0.175,1000000,460
14.5,65,299,0.5,2.3,1.59,0.18,1000000,460
15,65,299,0.5,2.3,1.58,0.18,1000000,460
15.5,65,299,0.5,2.3,1.56,0.185,1000000,460
16,65,299,0.5,2.3,1.54,0.19,1000000,460
16.5,65,299,0.5,2.3,1.52,0.195,1000000,460
17,65,299,0.5,2.3,1.5,0.2,1000000,460
17.5,65,299,0.5,2.3,1.47,0.205,1000000,460
18,65,299,0.5,2.3,1.45,0.21,1000000,460
18.5,65,299,0.5,2.3,1.41,0.225,1000000,460
19,65,299,0.5,2.3,1.38,0.24,1000000,460
19.5,65,299,0.5,2.3,1.35,0.25,1000000,460
20,65,299,0.5,2.3,1.32,0.26,1000000,460
20.5,65,299,0.5,2.3,1.27,0.275,1000000,460
21,65,299,0.5,2.3,1.23,0.29,1000000,460
21.5,65,299,0.5,2.3,1.18,0.3,1000000,460
22,65,299,0.5,2.3,1.14,0.31,1000000,460
22.5,65,299,0.5,2.3,1.08,0.33,1000000,460
23,65,299,0.5,2.3,1.02,0.35,1000000,460
23.5,65,299,0.5,2.3,0.96,0.365,1000000,460
24,65,299,0.5,2.3,0.91,0.38,1000000,460
24.5,65,299,0.5,2.3,0.88,0.395,1000000,460
25,65,299,0.5,2.3,0.84,0.41,1000000,460
-20,80,368,0.5,2.3,-0.55,0.28,1000000,460
-19.5,80,368,0.5,2.3,-0.58,0.265,1000000,460
-19,80,368,0.5,2.3,-0.61,0.25,1000000,460
-18.5,80,368,0.5,2.3,-0.64,0.235,1000000,460
-18,80,368,0.5,2.3,-0.67,0.22,1000000,460
-17.5,80,368,0.5,2.3,-0.7,0.205,1000000,460
-17,80,368,0.5,2.3,-0.73,0.19,1000000,460
-16.5,80,368,0.5,2.3,-0.76,0.175,1000000,460
-16,80,368,0.5,2.3,-0.79,0.16,1000000,460
-15.5,80,368,0.5,2.3,-0.82,0.14,1000000,460
-15,80,368,0.5,2.3,-0.85,0.12,1000000,460
-14.5,80,368,0.5,2.3,-0.8,0.11,1000000,460
-14,80,368,0.5,2.3,-0.75,0.1,1000000,460
-13.5,80,368,0.5,2.3,-0.7,0.09,1000000,460
-13,80,368,0.5,2.3,-0.65,0.08,1000000,460
-12.5,80,368,0.5,2.3,-0.6,0.07,1000000,460
-12,80,368,0.5,2.3,-0.55,0.06,1000000,460
-11.5,80,368,0.5,2.3,-0.5,0.055,1000000,460
-11,80,368,0.5,2.3,-0.45,0.05,1000000,460
-10.5,80,368,0.5,2.3,-0.4,0.045,1000000,460
-10,80,368,0.5,2.3,-0.35,0.04,1000000,460
-9.5,80,368,0.5,2.3,-0.3,0.038,1000000,460
-9,80,368,0.5,2.3,-0.25,0.035,1000000,460
-8.5,80,368,0.5,2.3,-0.2,0.032,1000000,460
-8,80,368,0.5,2.3,-0.15,0.03,1000000,460
-7.5,80,368,0.5,2.3,-0.1,0.028,1000000,460
-7,80,368,0.5,2.3,-0.05,0.025,1000000,460
-6.5,80,368,0.5,2.3,0,0.024,1000000,460
-6,80,368,0.5,2.3,0.05,0.022,1000000,460
-5.5,80,368,0.5,2.3,0.1,0.02,1000000,460
-5,80,368,0.5,2.3,0.15,0.02,1000000,460
-4.5,80,368,0.5,2.3,0.2,0.02,1000000,460
-4,80,368,0.5,2.3,0.25,0.02,1000000,460
-3.5,80,368,0.5,2.3,0.3,0.02,1000000,460
-3,80,368,0.5,2.3,0.35,0.02,1000000,460
-2.5,80,368,0.5,2.3,0.4,0.019,1000000,460
-2,80,368,0.5,2.3,0.45,0.018,1000000,460
-1.5,80,368,0.5,2.3,0.5,0.018,1000000,460
-1,80,368,0.5,2.3,0.55,0.018,1000000,460
-0.5,80,368,0.5,2.3,0.6,0.018,1000000,460
0,80,368,0.5,2.3,0.65,0.018,1000000,460
0.5,80,368,0.5,2.3,0.7,0.018,1000000,460
1,80,368,0.5,2.3,0.75,0.018,1000000,460
1.5,80,368,0.5,2.3,0.8,0.02,1000000,460
2,80,368,0.5,2.3,0.85,0.022,1000000,460
2.5,80,368,0.5,2.3,0.9,0.025,1000000,460
3,80,368,0.5,2.3,0.95,0.03,1000000,460
3.5,80,368,0.5,2.3,1,0.035,1000000,460
4,80,368,0.5,2.3,1.05,0.04,1000000,460
4.5,80,368,0.5,2.3,1.1,0.045,1000000,460
5,80,368,0.5,2.3,1.15,0.05,1000000,460
5.5,80,368,0.5,2.3,1.19,0.06,1000000,460
6,80,368,0.5,2.3,1.23,0.07,1000000,460
6.5,80,368,0.5,2.3,1.27,0.08,1000000,460
7,80,368,0.5,2.3,1.31,0.09,1000000,460
7.5,80,368,0.5,2.3,1.35,0.1,1000000,460
8,80,368,0.5,2.3,1.39,0.11,1000000,460
8.5,80,368,0.5,2.3,1.43,0.12,1000000,460
9,80,368,0.5,2.3,1.47,0.13,1000000,460
9.5,80,368,0.5,2.3,1.5,0.14,1000000,460
10,80,368,0.5,2.3,1.53,0.15,1000000,460
10.5,80,368,0.5,2.3,1.55,0.155,1000000,460
11,80,368,0.5,2.3,1.57,0.16,1000000,460
11.5,80,368,0.5,2.3,1.58,0.165,1000000,460
12,80,368,0.5,2.3,1.59,0.17,1000000,460
12.5,80,368,0.5,2.3,1.6,0.175,1000000,460
13,80,368,0.5,2.3,1.6,0.18,1000000,460
13.5,80,368,0.5,2.3,1.6,0.185,1000000,460
14,80,368,0.5,2.3,1.59,0.19,1000000,460
14.5,80,368,0.5,2.3,1.58,0.195,1000000,460
15,80,368,0.5,2.3,1.57,0.2,1000000,460
15.5,80,368,0.5,2.3,1.55,0.205,1000000,460
16,80,368,0.5,2.3,1.53,0.21,1000000,460
16.5,80,368,0.5,2.3,1.51,0.215,1000000,460
17,80,368,0.5,2.3,1.49,0.22,1000000,460
17.5,80,368,0.5,2.3,1.47,0.225,1000000,460
18,80,368,0.5,2.3,1.45,0.23,1000000,460
18.5,80,368,0.5,2.3,1.41,0.245,1000000,460
19,80,368,0.5,2.3,1.38,0.26,1000000,460
19.5,80,368,0.5,2.3,1.35,0.27,1000000,460
20,80,368,0.5,2.3,1.32,0.28,1000000,460
20.5,80,368,0.5,2.3,1.28,0.29,1000000,460
21,80,368,0.5,2.3,1.24,0.3,1000000,460
21.5,80,368,0.5,2.3,1.2,0.31,1000000,460
22,80,368,0.5,2.3,1.16,0.32,1000000,460
22.5,80,368,0.5,2.3,1.12,0.33,1000000,460
23,80,368,0.5,2.3,1.08,0.34,1000000,460
23.5,80,368,0.5,2.3,1.02,0.355,1000000,460
24,80,368,0.5,2.3,0.96,0.37,1000000,460
24.5,80,368,0.5,2.3,0.9,0.385,1000000,460
25,80,368,0.5,2.3,0.85,0.4,1000000,460
-20,53,243.8,0.75,3.45,-0.65,0.28,1000000,460
-19.5,53,243.8,0.75,3.45,-0.68,0.265,1000000,460
-19,53,243.8,0.75,3.45,-0.7,0.25,1000000,460
-18.5,53,243.8,0.75,3.45,-0.72,0.235,1000000,460
-18,53,243.8,0.75,3.45,-0.74,0.22,1000000,460
-17.5,53,243.8,0.75,3.45,-0.75,0.205,1000000,460
-17,53,243.8,0.75,3.45,-0.75,0.19,1000000,460
-16.5,53,243.8,0.75,3.45,-0.75,0.175,1000000,460
-16,53,243.8,0.75,3.45,-0.75,0.16,1000000,460
-15.5,53,243.8,0.75,3.45,-0.75,0.14,1000000,460
13.5,65,299,0.5,2.3,1.58,0.17,1000000,460
13.5,80,368,0.5,2.3,1.58,0.19,1000000,460
14,65,299,0.5,2.3,1.6,0.17,1000000,460
14,80,368,0.5,2.3,1.6,0.19,1000000,460
14.5,65,299,0.5,2.3,1.59,0.175,1000000,460
14.5,80,368,0.5,2.3,1.57,0.195,1000000,460
15,65,299,0.5,2.3,1.58,0.18,1000000,460
15,80,368,0.5,2.3,1.55,0.2,1000000,460
15.5,65,299,0.5,2.3,1.56,0.185,1000000,460
15.5,80,368,0.5,2.3,1.53,0.205,1000000,460
16,65,299,0.5,2.3,1.54,0.19,1000000,460
16,80,368,0.5,2.3,1.51,0.21,1000000,460
16.5,65,299,0.5,2.3,1.52,0.195,1000000,460
16.5,80,368,0.5,2.3,1.49,0.215,1000000,460
17,65,299,0.5,2.3,1.5,0.2,1000000,460
17,80,368,0.5,2.3,1.48,0.22,1000000,460
17.5,65,299,0.5,2.3,1.47,0.205,1000000,460
17.5,80,368,0.5,2.3,1.45,0.225,1000000,460
18,65,299,0.5,2.3,1.45,0.21,1000000,460
18,80,368,0.5,2.3,1.43,0.23,1000000,460
18.5,65,299,0.5,2.3,1.41,0.225,1000000,460
18.5,80,368,0.5,2.3,1.4,0.24,1000000,460
19,65,299,0.5,2.3,1.38,0.24,1000000,460
19,80,368,0.5,2.3,1.36,0.25,1000000,460
19.5,65,299,0.5,2.3,1.35,0.25,1000000,460
19.5,80,368,0.5,2.3,1.33,0.26,1000000,460
20,65,299,0.5,2.3,1.32,0.26,1000000,460
20,80,368,0.5,2.3,1.3,0.27,1000000,460
20.5,65,299,0.5,2.3,1.27,0.275,1000000,460
20.5,80,368,0.5,2.3,1.25,0.285,1000000,460
21,65,299,0.5,2.3,1.23,0.29,1000000,460
21,80,368,0.5,2.3,1.2,0.3,1000000,460
21.5,65,299,0.5,2.3,1.18,0.3,1000000,460
21.5,80,368,0.5,2.3,1.16,0.31,1000000,460
22,65,299,0.5,2.3,1.14,0.31,1000000,460
22,80,368,0.5,2.3,1.12,0.32,1000000,460
22.5,65,299,0.5,2.3,1.08,0.33,1000000,460
22.5,80,368,0.5,2.3,1.06,0.34,1000000,460
23,65,299,0.5,2.3,1.02,0.35,1000000,460
23,80,368,0.5,2.3,1,0.36,1000000,460
23.5,65,299,0.5,2.3,0.96,0.365,1000000,460
23.5,80,368,0.5,2.3,0.92,0.375,1000000,460
24,65,299,0.5,2.3,0.91,0.38,1000000,460
24,80,368,0.5,2.3,0.85,0.39,1000000,460
24.5,65,299,0.5,2.3,0.87,0.395,1000000,460
24.5,80,368,0.5,2.3,0.82,0.405,1000000,460
25,65,299,0.5,2.3,0.84,0.41,1000000,460
25,80,368,0.5,2.3,0.8,0.42,1000000,460
-20,53,243.8,0.75,3.45,-0.65,0.28,1000000,460
-19.5,53,243.8,0.75,3.45,-0.68,0.265,1000000,460
-19,53,243.8,0.75,3.45,-0.7,0.25,1000000,460
-18.5,53,243.8,0.75,3.45,-0.7,0.235,1000000,460
-18,53,243.8,0.75,3.45,-0.7,0.22,1000000,460
-17.5,53,243.8,0.75,3.45,-0.7,0.205,1000000,460
-17,53,243.8,0.75,3.45,-0.7,0.19,1000000,460
-16.5,53,243.8,0.75,3.45,-0.7,0.175,1000000,460
-16,53,243.8,0.75,3.45,-0.7,0.16,1000000,460
-15.5,53,243.8,0.75,3.45,-0.7,0.14,1000000,460
-15,53,243.8,0.75,3.45,-0.7,0.12,1000000,460
-14.5,53,243.8,0.75,3.45,-0.68,0.11,1000000,460
-14,53,243.8,0.75,3.45,-0.66,0.1,1000000,460
-13.5,53,243.8,0.75,3.45,-0.64,0.09,1000000,460
-13,53,243.8,0.75,3.45,-0.62,0.08,1000000,460
-12.5,53,243.8,0.75,3.45,-0.6,0.07,1000000,460
-12,53,243.8,0.75,3.45,-0.58,0.06,1000000,460
-11.5,53,243.8,0.75,3.45,-0.55,0.055,1000000,460
-11,53,243.8,0.75,3.45,-0.52,0.05,1000000,460
-10.5,53,243.8,0.75,3.45,-0.5,0.045,1000000,460
-10,53,243.8,0.75,3.45,-0.48,0.04,1000000,460
-9.5,53,243.8,0.75,3.45,-0.42,0.038,1000000,460
-9,53,243.8,0.75,3.45,-0.36,0.035,1000000,460
-8.5,53,243.8,0.75,3.45,-0.3,0.032,1000000,460
-8,53,243.8,0.75,3.45,-0.25,0.03,1000000,460
-7.5,53,243.8,0.75,3.45,-0.2,0.028,1000000,460
-7,53,243.8,0.75,3.45,-0.15,0.025,1000000,460
-6.5,53,243.8,0.75,3.45,-0.1,0.024,1000000,460
-6,53,243.8,0.75,3.45,-0.05,0.022,1000000,460
-5.5,53,243.8,0.75,3.45,0,0.02,1000000,460
-5,53,243.8,0.75,3.45,0.05,0.02,1000000,460
-4.5,53,243.8,0.75,3.45,0.1,0.02,1000000,460
-4,53,243.8,0.75,3.45,0.15,0.02,1000000,460
-3.5,53,243.8,0.75,3.45,0.2,0.02,1000000,460
-3,53,243.8,0.75,3.45,0.25,0.02,1000000,460
-2.5,53,243.8,0.75,3.45,0.3,0.019,1000000,460
-2,53,243.8,0.75,3.45,0.35,0.018,1000000,460
-1.5,53,243.8,0.75,3.45,0.4,0.018,1000000,460
-1,53,243.8,0.75,3.45,0.45,0.018,1000000,460
-0.5,53,243.8,0.75,3.45,0.5,0.018,1000000,460
0,53,243.8,0.75,3.45,0.55,0.018,1000000,460
0.5,53,243.8,0.75,3.45,0.6,0.018,1000000,460
1,53,243.8,0.75,3.45,0.65,0.018,1000000,460
1.5,53,243.8,0.75,3.45,0.7,0.018,1000000,460
2,53,243.8,0.75,3.45,0.75,0.018,1000000,460
2.5,53,243.8,0.75,3.45,0.8,0.019,1000000,460
3,53,243.8,0.75,3.45,0.85,0.02,1000000,460
3.5,53,243.8,0.75,3.45,0.9,0.022,1000000,460
4,53,243.8,0.75,3.45,0.95,0.025,1000000,460
4.5,53,243.8,0.75,3.45,1,0.028,1000000,460
5,53,243.8,0.75,3.45,1.05,0.03,1000000,460
5.5,53,243.8,0.75,3.45,1.1,0.035,1000000,460
6,53,243.8,0.75,3.45,1.15,0.04,1000000,460
6.5,53,243.8,0.75,3.45,1.2,0.045,1000000,460
7,53,243.8,0.75,3.45,1.25,0.05,1000000,460
7.5,53,243.8,0.75,3.45,1.3,0.055,1000000,460
8,53,243.8,0.75,3.45,1.35,0.06,1000000,460
8.5,53,243.8,0.75,3.45,1.4,0.08,1000000,460
9,53,243.8,0.75,3.45,1.45,0.1,1000000,460
9.5,53,243.8,0.75,3.45,1.5,0.11,1000000,460
10,53,243.8,0.75,3.45,1.55,0.12,1000000,460
10.5,53,243.8,0.75,3.45,1.58,0.125,1000000,460
11,53,243.8,0.75,3.45,1.6,0.13,1000000,460
11.5,53,243.8,0.75,3.45,1.62,0.135,1000000,460
12,53,243.8,0.75,3.45,1.63,0.14,1000000,460
12.5,53,243.8,0.75,3.45,1.64,0.145,1000000,460
13,53,243.8,0.75,3.45,1.65,0.15,1000000,460
13.5,53,243.8,0.75,3.45,1.65,0.155,1000000,460
14,53,243.8,0.75,3.45,1.64,0.16,1000000,460
14.5,53,243.8,0.75,3.45,1.63,0.165,1000000,460
15,53,243.8,0.75,3.45,1.62,0.17,1000000,460
15.5,53,243.8,0.75,3.45,1.6,0.175,1000000,460
16,53,243.8,0.75,3.45,1.58,0.18,1000000,460
16.5,53,243.8,0.75,3.45,1.56,0.185,1000000,460
17,53,243.8,0.75,3.45,1.54,0.19,1000000,460
17.5,53,243.8,0.75,3.45,1.52,0.195,1000000,460
18,53,243.8,0.75,3.45,1.5,0.2,1000000,460
18.5,53,243.8,0.75,3.45,1.48,0.21,1000000,460
19,53,243.8,0.75,3.45,1.45,0.22,1000000,460
19.5,53,243.8,0.75,3.45,1.4,0.235,1000000,460
20,53,243.8,0.75,3.45,1.35,0.25,1000000,460
20.5,53,243.8,0.75,3.45,1.3,0.265,1000000,460
21,53,243.8,0.75,3.45,1.25,0.28,1000000,460
21.5,53,243.8,0.75,3.45,1.2,0.295,1000000,460
22,53,243.8,0.75,3.45,1.15,0.31,1000000,460
22.5,53,243.8,0.75,3.45,1.1,0.325,1000000,460
23,53,243.8,0.75,3.45,1.05,0.34,1000000,460
23.5,53,243.8,0.75,3.45,1,0.355,1000000,460
24,53,243.8,0.75,3.45,0.95,0.37,1000000,460
24.5,53,243.8,0.75,3.45,0.9,0.38,1000000,460
25,53,243.8,0.75,3.45,0.85,0.4,1000000,460
-20,53,243.8,1,4.6,-0.65,0.28,1000000,460
-19.5,53,243.8,1,4.6,-0.68,0.265,1000000,460
-19,53,243.8,1,4.6,-0.7,0.25,1000000,460
-18.5,53,243.8,1,4.6,-0.7,0.235,1000000,460
-18,53,243.8,1,4.6,-0.7,0.22,1000000,460
-17.5,53,243.8,1,4.6,-0.7,0.205,1000000,460
-17,53,243.8,1,4.6,-0.7,0.19,1000000,460
-16.5,53,243.8,1,4.6,-0.7,0.175,1000000,460
-16,53,243.8,1,4.6,-0.7,0.16,1000000,460
-15.5,53,243.8,1,4.6,-0.7,0.14,1000000,460
-15,53,243.8,1,4.6,-0.7,0.12,1000000,460
-14.5,53,243.8,1,4.6,-0.68,0.11,1000000,460
-14,53,243.8,1,4.6,-0.66,0.1,1000000,460
-13.5,53,243.8,1,4.6,-0.64,0.09,1000000,460
-13,53,243.8,1,4.6,-0.62,0.08,1000000,460
-12.5,53,243.8,1,4.6,-0.6,0.07,1000000,460
-12,53,243.8,1,4.6,-0.58,0.06,1000000,460
-11.5,53,243.8,1,4.6,-0.55,0.055,1000000,460
-11,53,243.8,1,4.6,-0.52,0.05,1000000,460
-10.5,53,243.8,1,4.6,-0.5,0.045,1000000,460
-10,53,243.8,1,4.6,-0.48,0.04,1000000,460
-9.5,53,243.8,1,4.6,-0.42,0.038,1000000,460
-9,53,243.8,1,4.6,-0.36,0.035,1000000,460
-8.5,53,243.8,1,4.6,-0.3,0.032,1000000,460
-8,53,243.8,1,4.6,-0.25,0.03,1000000,460
-7.5,53,243.8,1,4.6,-0.2,0.028,1000000,460
-7,53,243.8,1,4.6,-0.15,0.025,1000000,460
-6.5,53,243.8,1,4.6,-0.1,0.024,1000000,460
-6,53,243.8,1,4.6,-0.05,0.022,1000000,460
-5.5,53,243.8,1,4.6,0,0.02,1000000,460
-5,53,243.8,1,4.6,0.05,0.02,1000000,460
-4.5,53,243.8,1,4.6,0.1,0.02,1000000,460
