AoA (degrees),Suction Location (%C),Suction Size (%C),CL,CD
-1,80,0.5,0.55,0.018
-0.5,80,0.5,0.6,0.018
0,80,0.5,0.65,0.018
0.5,80,0.5,0.7,0.018
1,80,0.5,0.75,0.018
1.5,80,0.5,0.8,0.02
2,80,0.5,0.85,0.022
2.5,80,0.5,0.9,0.025
3,80,0.5,0.95,0.03
3.5,80,0.5,1,0.035
4,80,0.5,1.05,0.04
4.5,80,0.5,1.1,0.045
5,80,0.5,1.15,0.05
5.5,80,0.5,1.19,0.06
6,80,0.5,1.23,0.07
6.5,80,0.5,1.27,0.08
7,80,0.5,1.31,0.09
7.5,80,0.5,1.35,0.1
8,80,0.5,1.39,0.11
8.5,80,0.5,1.43,0.12
9,80,0.5,1.47,0.13
9.5,80,0.5,1.5,0.14
10,80,0.5,1.53,0.15
10.5,80,0.5,1.55,0.155
11,80,0.5,1.57,0.16
11.5,80,0.5,1.58,0.165
12,80,0.5,1.59,0.17
12.5,80,0.5,1.6,0.175
13,80,0.5,1.6,0.18
13.5,80,0.5,1.6,0.185
14,80,0.5,1.59,0.19
14.5,80,0.5,1.58,0.195
15,80,0.5,1.57,0.2
15.5,80,0.5,1.55,0.205
16,80,0.5,1.53,0.21
16.5,80,0.5,1.51,0.215
17,80,0.5,1.49,0.22
17.5,80,0.5,1.47,0.225
18,80,0.5,1.45,0.23
18.5,80,0.5,1.41,0.245
19,80,0.5,1.38,0.26
19.5,80,0.5,1.35,0.27
20,80,0.5,1.32,0.28
20.5,80,0.5,1.28,0.29
21,80,0.5,1.24,0.3
21.5,80,0.5,1.2,0.31
22,80,0.5,1.16,0.32
22.5,80,0.5,1.12,0.33
23,80,0.5,1.08,0.34
23.5,80,0.5,1.02,0.355
24,80,0.5,0.96,0.37
24.5,80,0.5,0.9,0.385
25,80,0.5,0.85,0.4
-20,53,0.75,-0.65,0.28
-19.5,53,0.75,-0.68,0.265
-19,53,0.75,-0.7,0.25
-18.5,53,0.75,-0.72,0.235
-18,53,0.75,-0.74,0.22
-17.5,53,0.75,-0.75,0.205
-17,53,0.75,-0.75,0.19
-16.5,53,0.75,-0.75,0.175
-16,53,0.75,-0.75,0.16
-15.5,53,0.75,-0.75,0.14
13.5,65,0.5,1.58,0.17
13.5,80,0.5,1.58,0.19
14,65,0.5,1.6,0.17
14,80,0.5,1.6,0.19
14.5,65,0.5,1.59,0.175
14.5,80,0.5,1.57,0.195
15,65,0.5,1.58,0.18
15,80,0.5,1.55,0.2
15.5,65,0.5,1.56,0.185
15.5,80,0.5,1.53,0.205
16,65,0.5,1.54,0.19
16,80,0.5,1.51,0.21
16.5,65,0.5,1.52,0.195
16.5,80,0.5,1.49,0.215
17,65,0.5,1.5,0.2
17,80,0.5,1.48,0.22
17.5,65,0.5,1.47,0.205
17.5,80,0.5,1.45,0.225
18,65,0.5,1.45,0.21
18,80,0.5,1.43,0.23
18.5,65,0.5,1.41,0.225
18.5,80,0.5,1.4,0.24
19,65,0.5,1.38,0.24
19,80,0.5,1.36,0.25
19.5,65,0.5,1.35,0.25
19.5,80,0.5,1.33,0.26
20,65,0.5,1.32,0.26
20,80,0.5,1.3,0.27
20.5,65,0.5,1.27,0.275
20.5,80,0.5,1.25,0.285
21,65,0.5,1.23,0.29
21,80,0.5,1.2,0.3
21.5,65,0.5,1.18,0.3
21.5,80,0.5,1.16,0.31
22,65,0.5,1.14,0.31
22,80,0.5,1.12,0.32
22.5,65,0.5,1.08,0.33
22.5,80,0.5,1.06,0.34
23,65,0.5,1.02,0.35
23,80,0.5,1,0.36
23.5,65,0.5,0.96,0.365
23.5,80,0.5,0.92,0.375
24,65,0.5,0.91,0.38
24,80,0.5,0.85,0.39
24.5,65,0.5,0.87,0.395
24.5,80,0.5,0.82,0.405
25,65,0.5,0.84,0.41
25,80,0.5,0.8,0.42
-20,53,0.75,-0.65,0.28
-19.5,53,0.75,-0.68,0.265
-19,53,0.75,-0.7,0.25
-18.5,53,0.75,-0.7,0.235
-18,53,0.75,-0.7,0.22
-17.5,53,0.75,-0.7,0.205
-17,53,0.75,-0.7,0.19
-16.5,53,0.75,-0.7,0.175
-16,53,0.75,-0.7,0.16
-15.5,53,0.75,-0.7,0.14
-15,53,0.75,-0.7,0.12
-14.5,53,0.75,-0.68,0.11
-14,53,0.75,-0.66,0.1
-13.5,53,0.75,-0.64,0.09
-13,53,0.75,-0.62,0.08
-12.5,53,0.75,-0.6,0.07
-12,53,0.75,-0.58,0.06
-11.5,53,0.75,-0.55,0.055
-11,53,0.75,-0.52,0.05
-10.5,53,0.75,-0.5,0.045
-10,53,0.75,-0.48,0.04
-9.5,53,0.75,-0.42,0.038
-9,53,0.75,-0.36,0.035
-8.5,53,0.75,-0.3,0.032
-8,53,0.75,-0.25,0.03
-7.5,53,0.75,-0.2,0.028
-7,53,0.75,-0.15,0.025
-6.5,53,0.75,-0.1,0.024
-6,53,0.75,-0.05,0.022
-5.5,53,0.75,0,0.02
-5,53,0.75,0.05,0.02
-4.5,53,0.75,0.1,0.02
-4,53,0.75,0.15,0.02
-3.5,53,0.75,0.2,0.02
-3,53,0.75,0.25,0.02
-2.5,53,0.75,0.3,0.019
-2,53,0.75,0.35,0.018
-1.5,53,0.75,0.4,0.018
-1,53,0.75,0.45,0.018
-0.5,53,0.75,0.5,0.018
0,53,0.75,0.55,0.018
0.5,53,0.75,0.6,0.018
1,53,0.75,0.65,0.018
1.5,53,0.75,0.7,0.018
2,53,0.75,0.75,0.018
2.5,53,0.75,0.8,0.019
3,53,0.75,0.85,0.02
3.5,53,0.75,0.9,0.022
4,53,0.75,0.95,0.025
4.5,53,0.75,1,0.028
5,53,0.75,1.05,0.03
5.5,53,0.75,1.1,0.035
6,53,0.75,1.15,0.04
6.5,53,0.75,1.2,0.045
7,53,0.75,1.25,0.05
7.5,53,0.75,1.3,0.055
8,53,0.75,1.35,0.06
8.5,53,0.75,1.4,0.08
9,53,0.75,1.45,0.1
9.5,53,0.75,1.5,0.11
10,53,0.75,1.55,0.12
10.5,53,0.75,1.58,0.125
11,53,0.75,1.6,0.13
11.5,53,0.75,1.62,0.135
12,53,0.75,1.63,0.14
12.5,53,0.75,1.64,0.145
13,53,0.75,1.65,0.15
13.5,53,0.75,1.65,0.155
14,53,0.75,1.64,0.16
14.5,53,0.75,1.63,0.165
15,53,0.75,1.62,0.17
15.5,53,0.75,1.6,0.175
16,53,0.75,1.58,0.18
16.5,53,0.75,1.56,0.185
17,53,0.75,1.54,0.19
17.5,53,0.75,1.52,0.195
18,53,0.75,1.5,0.2
18.5,53,0.75,1.48,0.21
19,53,0.75,1.45,0.22
19.5,53,0.75,1.4,0.235
20,53,0.75,1.35,0.25
20.5,53,0.75,1.3,0.265
21,53,0.75,1.25,0.28
21.5,53,0.75,1.2,0.295
22,53,0.75,1.15,0.31
22.5,53,0.75,1.1,0.325
23,53,0.75,1.05,0.34
23.5,53,0.75,1,0.355
24,53,0.75,0.95,0.37
24.5,53,0.75,0.9,0.38
25,53,0.75,0.85,0.4
-20,53,1,-0.65,0.28
-19.5,53,1,-0.68,0.265
-19,53,1,-0.7,0.25
-18.5,53,1,-0.7,0.235
-18,53,1,-0.7,0.22
-17.5,53,1,-0.7,0.205
-17,53,1,-0.7,0.19
-16.5,53,1,-0.7,0.175
-16,53,1,-0.7,0.16
-15.5,53,1,-0.7,0.14
-15,53,1,-0.7,0.12
-14.5,53,1,-0.68,0.11
-14,53,1,-0.66,0.1
-13.5,53,1,-0.64,0.09
-13,53,1,-0.62,0.08
-12.5,53,1,-0.6,0.07
-12,53,1,-0.58,0.06
-11.5,53,1,-0.55,0.055
-11,53,1,-0.52,0.05
-10.5,53,1,-0.5,0.045
-10,53,1,-0.48,0.04
-9.5,53,1,-0.42,0.038
-9,53,1,-0.36,0.035
-8.5,53,1,-0.3,0.032
-8,53,1,-0.25,0.03
-7.5,53,1,-0.2,0.028
-7,53,1,-0.15,0.025
-6.5,53,1,-0.1,0.024
-6,53,1,-0.05,0.022
-5.5,53,1,0,0.02
-5,53,1,0.05,0.02
-4.5,53,1,0.1,0.02
-4,53,1,0.15,0.02
-3.5,53,1,0.2,0.02
-3,53,1,0.25,0.02
-2.5,53,1,0.3,0.019
-2,53,1,0.35,0.018
-1.5,53,1,0.4,0.018
-1,53,1,0.45,0.018
-0.5,53,1,0.5,0.018
0,53,1,0.55,0.018
0.5,53,1,0.6,0.018
1,53,1,0.65,0.018
1.5,53,1,0.7,0.018
2,53,1,0.75,0.018
2.5,53,1,0.8,0.019
3,53,1,0.85,0.02
3.5,53,1,0.9,0.022
4,53,1,0.95,0.025
4.5,53,1,1,0.028
5,53,1,1.05,0.03
5.5,53,1,1.1,0.035
6,53,1,1.15,0.04
6.5,53,1,1.2,0.045
7,53,1,1.25,0.05
7.5,53,1,1.3,0.055
8,53,1,1.35,0.06
8.5,53,1,1.4,0.08
9,53,1,1.45,0.1
9.5,53,1,1.5,0.11
10,53,1,1.55,0.12
10.5,53,1,1.58,0.125
11,53,1,1.6,0.13
11.5,53,1,1.62,0.135
12,53,1,1.63,0.14
12.5,53,1,1.64,0.145
13,53,1,1.65,0.15
17.5,65,0.5,1.47,0.205
17.5,80,0.5,1.45,0.225
17.5,53,1,1.51,0.19
17.5,53,1,1.51,0.19
18,53,1,1.48,0.2
18,53,1,1.48,0.2
18,53,0.5,1.48,0.2
18,53,0.75,1.48,0.2
18,53,1,1.48,0.2
18,65,0.5,1.45,0.21
18,80,0.5,1.43,0.23
18,53,1,1.48,0.2
18,53,1,1.48,0.2
18.5,53,1,1.45,0.21
18.5,53,1,1.45,0.21
18.5,53,0.5,1.45,0.21
18.5,53,0.75,1.45,0.21
18.5,53,1,1.45,0.21
18.5,65,0.5,1.41,0.225
18.5,80,0.5,1.4,0.24
18.5,53,1,1.45,0.21
18.5,53,1,1.45,0.21
19,53,1,1.42,0.22
19,53,1,1.42,0.22
19,53,0.5,1.42,0.22
19,53,0.75,1.42,0.22
19,53,1,1.42,0.22
19,65,0.5,1.38,0.24
19,80,0.5,1.36,0.25
19,53,1,1.42,0.22
19,53,1,1.42,0.22
19.5,53,1,1.38,0.235
19.5,53,1,1.38,0.235
19.5,53,0.5,1.38,0.235
19.5,53,0.75,1.38,0.235
19.5,53,1,1.38,0.235
19.5,65,0.5,1.35,0.25
19.5,80,0.5,1.33,0.26
19.5,53,1,1.38,0.235
19.5,53,1,1.38,0.235
20,53,1,1.35,0.25
20,53,1,1.35,0.25
20,53,0.5,1.35,0.25
20,53,0.75,1.35,0.25
20,53,1,1.35,0.25
20,65,0.5,1.32,0.26
20,80,0.5,1.3,0.27
20,53,1,1.35,0.25
20,53,1,1.35,0.25
20.5,53,1,1.3,0.265
20.5,53,1,1.3,0.265
20.5,53,0.5,1.3,0.265
20.5,53,0.75,1.3,0.265
20.5,53,1,1.3,0.265
20.5,65,0.5,1.27,0.275
20.5,80,0.5,1.25,0.285
20.5,53,1,1.3,0.265
20.5,53,1,1.3,0.265
21,53,1,1.26,0.28
21,53,1,1.26,0.28
21,53,0.5,1.26,0.28
21,53,0.75,1.26,0.28
21,53,1,1.26,0.28
21,65,0.5,1.23,0.29
21,80,0.5,1.2,0.3
21,53,1,1.26,0.28
21,53,1,1.26,0.28
21.5,53,1,1.21,0.29
21.5,53,1,1.21,0.29
21.5,53,0.5,1.21,0.29
21.5,53,0.75,1.21,0.29
21.5,53,1,1.21,0.29
21.5,65,0.5,1.18,0.3
21.5,80,0.5,1.16,0.31
21.5,53,1,1.21,0.29
21.5,53,1,1.21,0.29
22,53,1,1.17,0.3
22,53,1,1.17,0.3
22,53,0.5,1.17,0.3
22,53,0.75,1.17,0.3
22,53,1,1.17,0.3
22,65,0.5,1.14,0.31
22,80,0.5,1.12,0.32
22,53,1,1.17,0.3
22,53,1,1.17,0.3
22.5,53,1,1.11,0.315
22.5,53,1,1.11,0.315
22.5,53,0.5,1.11,0.315
22.5,53,0.75,1.11,0.315
22.5,53,1,1.11,0.315
22.5,65,0.5,1.08,0.33
22.5,80,0.5,1.06,0.34
22.5,53,1,1.11,0.315
22.5,53,1,1.11,0.315
23,53,1,1.05,0.33
23,53,1,1.05,0.33
23,53,0.5,1.05,0.33
23,53,0.75,1.05,0.33
23,53,1,1.05,0.33
23,65,0.5,1.02,0.35
23,80,0.5,1,0.36
23,53,1,1.05,0.33
23,53,1,1.05,0.33
23.5,53,1,0.98,0.35
23.5,53,1,0.98,0.35
23.5,53,0.5,0.98,0.35
23.5,53,0.75,0.98,0.35
23.5,53,1,0.98,0.35
23.5,65,0.5,0.96,0.365
23.5,80,0.5,0.92,0.375
23.5,53,1,0.98,0.35
23.5,53,1,0.98,0.35
24,53,1,0.92,0.37
24,53,1,0.92,0.37
24,53,0.5,0.92,0.37
24,53,0.75,0.92,0.37
24,53,1,0.92,0.37
24,65,0.5,0.91,0.38
24,80,0.5,0.85,0.39
24,53,1,0.92,0.37
24,53,1,0.92,0.37
24.5,53,1,0.88,0.385
24.5,53,1,0.88,0.385
24.5,53,0.5,0.88,0.385
24.5,53,0.75,0.88,0.385
24.5,53,1,0.88,0.385
24.5,65,0.5,0.87,0.395
24.5,80,0.5,0.82,0.405
24.5,53,1,0.88,0.385
24.5,53,1,0.88,0.385
25,53,1,0.85,0.4
25,53,1,0.85,0.4
25,53,0.5,0.85,0.4
25,53,0.75,0.85,0.4
25,53,1,0.85,0.4
25,65,0.5,0.84,0.41
25,80,0.5,0.8,0.42
25,53,1,0.85,0.4
25,53,1,0.85,0.4
0,50,2,0.7,0.12
0.5,50,2,0.77,0.126
1,50,2,0.84,0.132
1.5,50,2,0.91,0.138
2,50,2,0.98,0.144
2.5,50,2,1.05,0.15
3,50,2,1.13,0.158
3.5,50,2,1.21,0.166
4,50,2,1.29,0.174
4.5,50,2,1.37,0.182
5,50,2,1.45,0.19
5.5,50,2,1.52,0.198
6,50,2,1.59,0.206
6.5,50,2,1.66,0.214
7,50,2,1.73,0.222
7.5,50,2,1.8,0.23
8,50,2,1.85,0.24
8.5,50,2,1.9,0.25
9,50,2,1.95,0.26
9.5,50,2,2,0.27
10,50,2,2.05,0.28
10.5,50,2,2.11,0.294
11,50,2,2.17,0.308
11.5,50,2,2.23,0.322
12,50,2,2.29,0.336
12.5,50,2,2.35,0.35
13,50,2,2.42,0.366
13.5,50,2,2.49,0.382
14,50,2,2.56,0.398
14.5,50,2,2.63,0.414
15,50,2,2.7,0.43
15.5,50,2,2.76,0.452
16,50,2,2.82,0.474
16.5,50,2,2.88,0.496
17,50,2,2.94,0.518
17.5,50,2,3,0.54
18,50,2,3.06,0.566
18.5,50,2,3.12,0.592
19,50,2,3.18,0.618
19.5,50,2,3.24,0.644
20,50,2,3.3,0.67
20.5,50,2,3.32,0.69
21,50,2,3.34,0.71
21.5,50,2,3.36,0.73
22,50,2,3.38,0.75
22.5,50,2,3.4,0.77
23,50,2,3.43,0.784
23.5,50,2,3.46,0.798
24,50,2,3.49,0.812
24.5,50,2,3.52,0.826
25,50,2,3.55,0.84
25.5,50,2,3.5,0.864
26,50,2,3.45,0.888
26.5,50,2,3.4,0.912
27,50,2,3.35,0.936
27.5,50,2,3.3,0.96
